,area_type,availability,total_sqft,price
102,Plot  Area,Ready To Move,2400,150.0
103,Super built-up  Area,Ready To Move,1007,43.0
104,Super built-up  Area,Ready To Move,1200,50.0
105,Super built-up  Area,Ready To Move,966,49.9
106,Built-up  Area,Ready To Move,1630,98.0
107,Built-up  Area,Ready To Move,1640,229.0
108,Built-up  Area,Ready To Move,782,55.68
109,Super built-up  Area,19-Apr,1260,66.78
110,Super built-up  Area,Ready To Move,1800,120.0
111,Super built-up  Area,Ready To Move,1413,75.0
112,Super built-up  Area,Ready To Move,1116,51.91
113,Super built-up  Area,Ready To Move,1530,45.9
114,Built-up  Area,Ready To Move,3700,225.0
115,Built-up  Area,Ready To Move,2497,140.0
116,Super built-up  Area,Ready To Move,1540,64.0
117,Super built-up  Area,18-Dec,1436,74.75
118,Super built-up  Area,18-Jun,1100,75.0
119,Plot  Area,Ready To Move,276,23.0
120,Super built-up  Area,Ready To Move,1427,120.0
121,Super built-up  Area,Ready To Move,2061,200.0
122,Super built-up  Area,18-Mar,3067 - 8156,477.0
123,Built-up  Area,Ready To Move,2650,150.0
124,Super built-up  Area,22-Dec,1282,68.52
125,Built-up  Area,Ready To Move,1050,34.0
126,Built-up  Area,Ready To Move,1600,65.0
127,Super built-up  Area,22-Jan,945,54.0
128,Super built-up  Area,Ready To Move,1500,78.0
129,Plot  Area,Ready To Move,950,115.0
130,Built-up  Area,Ready To Move,1870,110.0
131,Plot  Area,Ready To Move,1600,75.0
132,Super built-up  Area,Ready To Move,880,16.5
133,Plot  Area,Ready To Move,1200,210.0
134,Super built-up  Area,Ready To Move,1535,83.0
135,Built-up  Area,Ready To Move,950,57.0
136,Super built-up  Area,18-Aug,1360,65.0
137,Super built-up  Area,19-Mar,1042 - 1105,54.005
138,Super built-up  Area,18-May,1280,50.4
139,Super built-up  Area,19-Jan,1260,85.05
140,Built-up  Area,Ready To Move,5000,250.0
141,Super built-up  Area,19-Dec,3050,213.0
142,Super built-up  Area,Ready To Move,1563.05,105.0
143,Super built-up  Area,Ready To Move,1000,60.0
144,Super built-up  Area,17-Jul,1167,43.76
145,Super built-up  Area,Ready To Move,4000,225.0
146,Super built-up  Area,Ready To Move,1828,110.0
147,Super built-up  Area,Ready To Move,890,35.0
148,Super built-up  Area,Ready To Move,1612,46.74
149,Plot  Area,Ready To Move,1034,185.0
150,Super built-up  Area,19-Apr,1710,91.31
151,Super built-up  Area,Ready To Move,957,58.0
152,Super built-up  Area,18-May,1250,44.0
153,Super built-up  Area,Ready To Move,2795,235.0
154,Super built-up  Area,Ready To Move,1125,50.0
155,Super built-up  Area,18-Jul,1020,30.6
156,Super built-up  Area,Ready To Move,1200,50.0
157,Super built-up  Area,Ready To Move,1735,135.0
158,Super built-up  Area,Ready To Move,2050,145.0
159,Plot  Area,Ready To Move,3750,760.0
160,Built-up  Area,Ready To Move,1350,48.0
161,Super built-up  Area,18-May,1063,32.0
162,Super built-up  Area,Ready To Move,1904,150.0
163,Built-up  Area,Ready To Move,4200,420.0
164,Super built-up  Area,Ready To Move,2000,175.0
165,Super built-up  Area,18-Dec,1145 - 1340,43.49
166,Super built-up  Area,Ready To Move,1425,75.0
167,Super built-up  Area,Ready To Move,1500,64.5
168,Built-up  Area,Ready To Move,1060,60.0
169,Built-up  Area,Ready To Move,1470,70.0
170,Super built-up  Area,Ready To Move,1300,99.0
171,Super built-up  Area,Ready To Move,450,11.0
172,Super built-up  Area,18-Apr,1152,64.5
173,Super built-up  Area,Ready To Move,1350,56.0
174,Super built-up  Area,Ready To Move,1550,65.0
175,Plot  Area,Ready To Move,1500,100.0
176,Plot  Area,Ready To Move,600,85.0
177,Plot  Area,Ready To Move,400,14.0
178,Super built-up  Area,Ready To Move,705,67.0
179,Built-up  Area,Ready To Move,770,36.0
180,Super built-up  Area,Ready To Move,1242,51.0
181,Super built-up  Area,Ready To Move,1700,155.0
182,Super built-up  Area,Ready To Move,2144,145.0
183,Super built-up  Area,21-Jun,1704,110.0
184,Super built-up  Area,Ready To Move,1070,52.0
185,Plot  Area,Ready To Move,1846,300.0
186,Super built-up  Area,Ready To Move,1340,55.7
187,Built-up  Area,Ready To Move,1025,46.0
188,Super built-up  Area,Ready To Move,1015 - 1540,56.8
189,Super built-up  Area,Ready To Move,1200,52.0
190,Built-up  Area,18-Dec,2250,110.0
191,Super built-up  Area,Ready To Move,1550,80.0
192,Plot  Area,Ready To Move,1200,325.0
193,Plot  Area,Ready To Move,1800,250.0
194,Super built-up  Area,Ready To Move,1200,60.0
195,Super built-up  Area,Ready To Move,1327,98.0
196,Super built-up  Area,Ready To Move,1186,58.0
197,Built-up  Area,Ready To Move,1783,115.0
198,Super built-up  Area,Ready To Move,1400,56.0
199,Super built-up  Area,Ready To Move,980,48.0
200,Super built-up  Area,Ready To Move,1285,82.0
201,Super built-up  Area,Ready To Move,912,70.0
202,Built-up  Area,Ready To Move,1225,47.6
203,Super built-up  Area,Ready To Move,1075,53.0
204,Built-up  Area,Ready To Move,1260,54.0
205,Super built-up  Area,Ready To Move,1282,48.7
206,Super built-up  Area,Ready To Move,1909,88.0
207,Super built-up  Area,Ready To Move,1359,87.0
208,Built-up  Area,Ready To Move,1207,43.5
209,Plot  Area,Ready To Move,1736,190.0
210,Super built-up  Area,20-May,2850,428.0
211,Super built-up  Area,Ready To Move,1595,65.0
212,Built-up  Area,18-Jun,1798,89.0
213,Super built-up  Area,Ready To Move,1475,78.29
214,Super built-up  Area,Ready To Move,1580,100.0
215,Super built-up  Area,Ready To Move,1295,65.0
216,Built-up  Area,Ready To Move,3600,141.0
217,Super built-up  Area,Ready To Move,589,27.0
218,Super built-up  Area,Ready To Move,1415,78.0
219,Super built-up  Area,18-Dec,1787,98.29
220,Super built-up  Area,Ready To Move,1787,125.0
221,Super built-up  Area,Ready To Move,1475,90.0
222,Built-up  Area,Ready To Move,2000,75.5
223,Super built-up  Area,19-Mar,984,44.28
224,Super built-up  Area,19-Dec,1520 - 1740,74.82
225,Super built-up  Area,Ready To Move,2405,260.0
226,Built-up  Area,Ready To Move,1080,72.0
227,Plot  Area,Ready To Move,1500,115.0
228,Super built-up  Area,Ready To Move,1900,119.0
229,Super built-up  Area,19-Aug,805,22.14
230,Super built-up  Area,Ready To Move,1153,56.4
231,Super built-up  Area,Ready To Move,1148,60.0
232,Super built-up  Area,Ready To Move,1110,55.0
233,Built-up  Area,Ready To Move,1100,42.0
234,Super built-up  Area,Ready To Move,1290,110.0
235,Super built-up  Area,Ready To Move,1500,65.0
236,Super built-up  Area,18-Apr,1080,39.0
237,Super built-up  Area,21-Jun,1933,129.0
238,Built-up  Area,Ready To Move,3500,150.0
239,Built-up  Area,Ready To Move,1060,60.0
240,Super built-up  Area,18-Aug,645,16.45
241,Plot  Area,Ready To Move,2600,180.0
242,Super built-up  Area,18-Sep,645,16.45
243,Super built-up  Area,Ready To Move,1644,84.0
244,Super built-up  Area,Ready To Move,1285,72.5
245,Plot  Area,Ready To Move,1200,90.0
246,Super built-up  Area,Ready To Move,910,40.0
247,Super built-up  Area,Ready To Move,1577,70.0
248,Plot  Area,17-May,4050,280.0
249,Super built-up  Area,Ready To Move,2420,185.0
250,Super built-up  Area,Ready To Move,800,20.0
251,Built-up  Area,Ready To Move,1060,55.0
252,Super built-up  Area,Ready To Move,1270,93.0
253,Super built-up  Area,18-Jun,900,22.5
254,Built-up  Area,Ready To Move,1280,69.0
255,Plot  Area,Ready To Move,1200,95.0
256,Built-up  Area,Ready To Move,1025,36.0
257,Super built-up  Area,17-Jun,1108,63.0
258,Plot  Area,Ready To Move,1200,170.0
259,Super built-up  Area,Ready To Move,3045,170.0
260,Plot  Area,Ready To Move,2900,300.0
261,Super built-up  Area,Ready To Move,1500,75.5
262,Super built-up  Area,Ready To Move,1295,43.9
263,Super built-up  Area,Ready To Move,1162,59.9
264,Super built-up  Area,Ready To Move,1035,49.2
265,Built-up  Area,Ready To Move,1600,52.8
266,Super built-up  Area,Ready To Move,1464,46.0
267,Super built-up  Area,18-Oct,1866,61.58
268,Super built-up  Area,Ready To Move,700,26.0
269,Super built-up  Area,Ready To Move,1804,120.0
270,Super built-up  Area,Ready To Move,913,32.0
271,Super built-up  Area,21-Dec,1868,131.0
272,Built-up  Area,Ready To Move,883,45.0
273,Plot  Area,Ready To Move,900,110.0
274,Super built-up  Area,Ready To Move,1664,73.95
275,Super built-up  Area,Ready To Move,2026,132.0
276,Super built-up  Area,Ready To Move,1210,80.9
277,Plot  Area,Ready To Move,4111,250.0
278,Super built-up  Area,Ready To Move,1762,91.45
279,Super built-up  Area,Ready To Move,1252,55.0
280,Built-up  Area,Ready To Move,861,34.5
281,Built-up  Area,Ready To Move,1420,100.0
282,Plot  Area,Ready To Move,1450,250.0
283,Built-up  Area,Ready To Move,1490,78.8
284,Super built-up  Area,Ready To Move,1075,46.0
285,Super built-up  Area,18-Aug,1425,94.0
286,Built-up  Area,Ready To Move,1200,40.0
287,Super built-up  Area,Ready To Move,1280,56.0
288,Super built-up  Area,Ready To Move,1084,50.0
289,Super built-up  Area,18-Jul,1015,25.88
290,Super built-up  Area,21-May,1017,51.25
291,Super built-up  Area,Ready To Move,1027,44.0
292,Super built-up  Area,Ready To Move,1069,45.0
293,Super built-up  Area,Ready To Move,1349,98.2
294,Super built-up  Area,Ready To Move,1005,50.0
295,Super built-up  Area,Ready To Move,1417,75.0
296,Plot  Area,18-Jan,1475,98.0
297,Carpet  Area,Ready To Move,950,47.0
298,Super built-up  Area,Ready To Move,2000,120.0
299,Plot  Area,Ready To Move,880,140.0
300,Super built-up  Area,Ready To Move,1863,104.0
301,Super built-up  Area,Ready To Move,1010,29.5
302,Super built-up  Area,Ready To Move,1425,70.0
303,Super built-up  Area,Ready To Move,1450,100.0
304,Super built-up  Area,Ready To Move,1847,105.0
305,Super built-up  Area,Ready To Move,1100,45.0
306,Super built-up  Area,20-Dec,525,26.0
307,Super built-up  Area,Ready To Move,1665,95.0
308,Super built-up  Area,Ready To Move,1664,65.0
309,Super built-up  Area,Ready To Move,1850,150.0
310,Super built-up  Area,Ready To Move,1438,100.0
311,Super built-up  Area,Ready To Move,1560,115.0
312,Super built-up  Area,18-Apr,1350,55.55
313,Super built-up  Area,Ready To Move,1550,67.0
314,Super built-up  Area,18-Apr,1140,46.5
315,Plot  Area,Ready To Move,1200,180.0
316,Super built-up  Area,18-Dec,850,27.0
317,Super built-up  Area,Ready To Move,1280,75.0
318,Built-up  Area,Ready To Move,1170,52.0
319,Super built-up  Area,Ready To Move,1113,51.0
320,Super built-up  Area,Ready To Move,1385,83.09
321,Super built-up  Area,18-Apr,1128,65.0
322,Plot  Area,Ready To Move,1200,128.0
323,Plot  Area,Ready To Move,1200,165.0
324,Super built-up  Area,Ready To Move,2390,415.0
325,Plot  Area,Ready To Move,2400,400.0
326,Super built-up  Area,Ready To Move,1464,56.0
327,Super built-up  Area,Ready To Move,1200,55.0
328,Super built-up  Area,Ready To Move,1200,52.0
329,Super built-up  Area,Ready To Move,1150,55.0
330,Built-up  Area,Ready To Move,1645,95.0
331,Super built-up  Area,20-Mar,1000,67.0
332,Plot  Area,Ready To Move,2650,198.0
333,Super built-up  Area,Ready To Move,1192,74.0
334,Super built-up  Area,Ready To Move,2135,215.0
335,Super built-up  Area,19-Dec,1173,58.0
336,Built-up  Area,Ready To Move,1020,45.0
337,Super built-up  Area,Ready To Move,3122,230.0
338,Super built-up  Area,Ready To Move,1600,64.0
339,Plot  Area,18-Mar,1200,79.0
340,Carpet  Area,Ready To Move,1230,48.0
341,Super built-up  Area,Ready To Move,1250,40.0
342,Super built-up  Area,Ready To Move,1325,76.0
343,Built-up  Area,Ready To Move,1850,150.0
344,Super built-up  Area,21-Dec,525,21.53
345,Super built-up  Area,Ready To Move,1200,65.0
346,Plot  Area,Ready To Move,1350,140.0
347,Super built-up  Area,18-Jun,1260,49.36
348,Super built-up  Area,Ready To Move,1800,150.0
349,Plot  Area,18-Dec,11,74.0
350,Built-up  Area,Ready To Move,1100,43.25
351,Super built-up  Area,Ready To Move,1508,77.0
352,Carpet  Area,Ready To Move,1592,75.0
353,Super built-up  Area,Ready To Move,1388,57.0
354,Super built-up  Area,18-May,630,28.35
355,Plot  Area,Ready To Move,2000,365.0
356,Super built-up  Area,Ready To Move,1762,125.0
357,Super built-up  Area,21-Dec,950,50.0
358,Super built-up  Area,Ready To Move,3252,335.0
359,Super built-up  Area,18-Aug,1116,50.0
360,Super built-up  Area,Ready To Move,1308,89.04
361,Super built-up  Area,Ready To Move,1200,90.0
362,Plot  Area,Ready To Move,1500,230.0
363,Built-up  Area,Ready To Move,500,18.5
364,Super built-up  Area,Ready To Move,1075,52.0
365,Super built-up  Area,18-Mar,530,11.66
366,Built-up  Area,Ready To Move,1205,66.0
367,Super built-up  Area,Ready To Move,1075,60.0
368,Built-up  Area,Ready To Move,930,39.0
369,Super built-up  Area,Ready To Move,1380,60.0
370,Super built-up  Area,Ready To Move,2483,212.0
371,Built-up  Area,Ready To Move,1166,55.0
372,Super built-up  Area,Ready To Move,1050,65.0
373,Super built-up  Area,19-Mar,2023.71,275.0
374,Super built-up  Area,Ready To Move,1200,46.8
375,Super built-up  Area,Ready To Move,1600,108.0
376,Super built-up  Area,Ready To Move,1935,110.0
377,Super built-up  Area,18-May,451,29.9
378,Super built-up  Area,Ready To Move,1800,95.0
379,Super built-up  Area,18-May,1400,77.0
380,Super built-up  Area,Ready To Move,1801,115.0
381,Built-up  Area,Ready To Move,1451,90.0
382,Plot  Area,19-Jan,1200,36.0
383,Super built-up  Area,Ready To Move,1160,44.0
384,Built-up  Area,Ready To Move,1000,25.0
385,Super built-up  Area,Ready To Move,950,40.0
386,Built-up  Area,20-Dec,1629,79.0
387,Built-up  Area,Ready To Move,1580,134.0
388,Super built-up  Area,21-Jun,1826,121.0
389,Built-up  Area,Ready To Move,1245,94.0
390,Super built-up  Area,Ready To Move,1145,45.79
391,Super built-up  Area,Ready To Move,825,33.0
392,Super built-up  Area,18-Aug,1693,108.0
393,Super built-up  Area,Ready To Move,1113.27,53.0
394,Built-up  Area,Ready To Move,1460,58.0
395,Built-up  Area,Ready To Move,1050,32.0
396,Built-up  Area,Ready To Move,1260,55.0
397,Super built-up  Area,Ready To Move,700,120.0
398,Built-up  Area,Ready To Move,1656,120.0
399,Super built-up  Area,Ready To Move,1208,45.0
400,Super built-up  Area,Ready To Move,1910,161.0
401,Super built-up  Area,Ready To Move,3252,230.0
402,Plot  Area,Ready To Move,1200,65.0
403,Super built-up  Area,Ready To Move,1200,175.0
404,Super built-up  Area,Ready To Move,1175,82.0
405,Plot  Area,Ready To Move,1000,165.0
406,Plot  Area,Ready To Move,1200,125.0
407,Super built-up  Area,Ready To Move,2390,410.0
408,Super built-up  Area,19-Jan,12000,2200.0
409,Plot  Area,Ready To Move,550,62.0
410,Super built-up  Area,Ready To Move,34.46Sq. Meter,18.5
411,Super built-up  Area,Ready To Move,1185,38.0
412,Super built-up  Area,Ready To Move,750,38.0
413,Plot  Area,Ready To Move,1200,250.0
414,Super built-up  Area,Ready To Move,1550,64.5
415,Built-up  Area,Ready To Move,1760,88.0
416,Super built-up  Area,Ready To Move,1125,62.0
417,Plot  Area,Ready To Move,1350,150.0
418,Plot  Area,17-Dec,1000,55.0
419,Built-up  Area,18-Aug,1090,31.48
420,Plot  Area,Ready To Move,1200,60.0
421,Super built-up  Area,Ready To Move,1991,103.0
422,Super built-up  Area,18-Oct,1060,26.5
423,Super built-up  Area,Ready To Move,1105,75.0
424,Built-up  Area,Ready To Move,985,67.0
425,Plot  Area,Ready To Move,1533,85.0
426,Super built-up  Area,17-Jul,1590,79.0
427,Super built-up  Area,Ready To Move,1120,55.0
428,Super built-up  Area,Ready To Move,1069,55.0
429,Super built-up  Area,Ready To Move,1933,140.0
430,Built-up  Area,16-Mar,1194,69.0
431,Super built-up  Area,Ready To Move,1150,69.0
432,Super built-up  Area,Ready To Move,1240,47.12
433,Super built-up  Area,Ready To Move,1419,48.1
434,Plot  Area,Ready To Move,1200,250.0
435,Super built-up  Area,Ready To Move,2150,240.0
436,Super built-up  Area,Ready To Move,1450,55.0
437,Super built-up  Area,18-Jul,1630,68.29
438,Super built-up  Area,Ready To Move,708,40.0
439,Plot  Area,Ready To Move,1000,110.0
440,Plot  Area,Ready To Move,11890,700.0
441,Super built-up  Area,Ready To Move,1250,76.0
442,Super built-up  Area,Ready To Move,1400,95.0
443,Super built-up  Area,Ready To Move,1670,57.0
444,Super built-up  Area,Ready To Move,1750,100.0
445,Super built-up  Area,Ready To Move,1404,71.0
446,Super built-up  Area,Ready To Move,1715,95.0
447,Built-up  Area,18-Apr,630,34.65
448,Super built-up  Area,Ready To Move,1752.12,135.0
449,Super built-up  Area,Ready To Move,1650,78.0
450,Super built-up  Area,Ready To Move,1295,55.47
451,Plot  Area,Ready To Move,1800,252.0
452,Super built-up  Area,18-Sep,1346,74.03
453,Plot  Area,Ready To Move,1200,200.0
454,Super built-up  Area,Ready To Move,1150,55.0
455,Built-up  Area,Ready To Move,3309,325.0
456,Super built-up  Area,18-May,1190,30.35
457,Super built-up  Area,Ready To Move,1620,98.0
458,Super built-up  Area,18-Apr,950,46.96
459,Super built-up  Area,Ready To Move,5000,360.0
460,Super built-up  Area,Ready To Move,2450,120.0
461,Super built-up  Area,18-May,1220,35.23
462,Super built-up  Area,Ready To Move,850,30.0
463,Built-up  Area,Ready To Move,1020,63.0
464,Built-up  Area,Ready To Move,1100,50.0
465,Super built-up  Area,Ready To Move,1150,126.0
466,Super built-up  Area,18-Dec,1760,130.0
467,Super built-up  Area,Ready To Move,1800,110.0
468,Super built-up  Area,Ready To Move,1070,54.0
469,Plot  Area,Ready To Move,1500,220.0
470,Plot  Area,Ready To Move,1440,95.0
471,Super built-up  Area,Ready To Move,900,40.0
472,Built-up  Area,Ready To Move,1200,230.0
473,Super built-up  Area,18-May,1130,42.16
474,Super built-up  Area,Ready To Move,1320,165.0
475,Super built-up  Area,19-Jun,1270,98.0
476,Built-up  Area,Ready To Move,1200,62.0
477,Super built-up  Area,Ready To Move,4800,235.0
478,Super built-up  Area,Ready To Move,1200,74.0
479,Super built-up  Area,Ready To Move,929,50.17
480,Built-up  Area,Ready To Move,1150,260.0
481,Plot  Area,Ready To Move,1125,180.0
482,Plot  Area,Ready To Move,500,65.0
483,Plot  Area,Ready To Move,1200,190.0
484,Super built-up  Area,Ready To Move,1464,56.0
485,Super built-up  Area,Ready To Move,3600,400.0
486,Plot  Area,Ready To Move,2000,99.0
487,Super built-up  Area,Ready To Move,1208,49.0
488,Super built-up  Area,Ready To Move,1130,60.0
489,Super built-up  Area,Ready To Move,1753,120.0
490,Super built-up  Area,Ready To Move,4500,337.0
491,Plot  Area,Ready To Move,600,58.0
492,Super built-up  Area,22-Jun,1196,94.42
493,Built-up  Area,Ready To Move,1150,52.5
494,Super built-up  Area,18-Apr,1128,63.0
495,Super built-up  Area,Ready To Move,1000,53.0
496,Super built-up  Area,Ready To Move,1035,45.0
497,Built-up  Area,Ready To Move,950,32.0
498,Super built-up  Area,Ready To Move,1075,36.0
499,Super built-up  Area,Ready To Move,1040,48.5
500,Plot  Area,17-Oct,720,45.0
501,Super built-up  Area,Ready To Move,1511,95.0
502,Built-up  Area,Ready To Move,1300,58.0
503,Super built-up  Area,19-Dec,1545,68.75
504,Built-up  Area,Ready To Move,375,26.0
505,Super built-up  Area,Ready To Move,1062,38.0
506,Super built-up  Area,Ready To Move,1115,40.0
507,Super built-up  Area,Ready To Move,1000,35.0
508,Super built-up  Area,17-May,883,45.0
509,Super built-up  Area,19-Apr,1195,70.0
510,Plot  Area,Ready To Move,1200,165.0
511,Built-up  Area,Ready To Move,700,41.0
512,Super built-up  Area,Ready To Move,1246,67.0
513,Plot  Area,Ready To Move,660,90.0
514,Plot  Area,Ready To Move,8500,145.0
515,Super built-up  Area,Ready To Move,1600,80.0
516,Super built-up  Area,18-Dec,2805,154.0
517,Super built-up  Area,Ready To Move,1584,65.0
518,Plot  Area,Ready To Move,3000,275.0
519,Built-up  Area,Ready To Move,1175,48.0
520,Built-up  Area,19-Jul,1595,115.0
521,Super built-up  Area,Ready To Move,1353,110.0
522,Super built-up  Area,18-Apr,1599,125.0
523,Super built-up  Area,Ready To Move,1150,70.0
524,Super built-up  Area,17-Dec,5230,465.0
525,Super built-up  Area,Ready To Move,1155,42.74
526,Built-up  Area,Ready To Move,1200,85.0
527,Super built-up  Area,18-Jul,1000,25.0
528,Super built-up  Area,Ready To Move,3000,120.0
529,Built-up  Area,Ready To Move,1867,160.0
530,Super built-up  Area,18-Jun,1251,47.0
531,Super built-up  Area,18-Apr,1028,45.5
532,Super built-up  Area,Ready To Move,1222,45.0
533,Super built-up  Area,Ready To Move,1170,66.0
534,Super built-up  Area,Ready To Move,2400,245.0
535,Super built-up  Area,Ready To Move,1385,48.48
536,Super built-up  Area,Ready To Move,1372,68.0
537,Super built-up  Area,Ready To Move,1282,49.0
538,Super built-up  Area,Ready To Move,5000,210.0
539,Built-up  Area,Ready To Move,3000,528.0
540,Super built-up  Area,Ready To Move,1135,39.73
541,Built-up  Area,20-Dec,1768,101.0
542,Built-up  Area,Ready To Move,1325,90.0
543,Super built-up  Area,18-Apr,1599,99.0
544,Plot  Area,18-Mar,1500,61.95
545,Plot  Area,Ready To Move,2610,499.0
546,Super built-up  Area,Ready To Move,1286,63.0
547,Built-up  Area,Ready To Move,2845,140.0
548,Super built-up  Area,Ready To Move,1600,50.0
549,Super built-up  Area,18-Sep,1195 - 1440,63.77
550,Super built-up  Area,Ready To Move,3450,260.0
551,Super built-up  Area,18-Apr,1102,53.67
552,Super built-up  Area,Ready To Move,1350,54.0
553,Super built-up  Area,Ready To Move,1200,42.0
554,Plot  Area,Ready To Move,1300,145.0
555,Plot  Area,Ready To Move,1800,80.0
556,Built-up  Area,Ready To Move,950,40.0
557,Super built-up  Area,21-Dec,525,27.25
558,Built-up  Area,Ready To Move,656,25.0
559,Plot  Area,Ready To Move,1780,175.0
560,Super built-up  Area,Ready To Move,1056,80.0
561,Super built-up  Area,21-Feb,595,33.32
562,Built-up  Area,Ready To Move,1080,50.0
563,Super built-up  Area,19-Dec,2225,160.0
564,Super built-up  Area,18-Aug,1126,28.15
565,Super built-up  Area,Ready To Move,1490,84.0
566,Plot  Area,Ready To Move,2000,300.0
567,Super built-up  Area,Ready To Move,1550,100.0
568,Super built-up  Area,Ready To Move,1600,86.0
569,Built-up  Area,Ready To Move,1160,55.0
570,Built-up  Area,Ready To Move,4144,315.0
571,Super built-up  Area,Ready To Move,2100,125.0
572,Super built-up  Area,Ready To Move,1404,69.3
573,Plot  Area,Ready To Move,2230,225.0
574,Super built-up  Area,Ready To Move,1544,120.0
575,Super built-up  Area,18-May,1305,58.7
